isolate,endophyte_present,rep,trial,endophyte_strain,colony_area_Fg,colony_area_endophyte,plug_area,colony_area_Fg_minusplug,colony_area_endophyte_minusplug,area_unocupied,date_assesed,date_started,dpi,area_petridish,percent_occupied_Fg,FS
760,yes,1,2,37,27.68,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,48.77961328,na
760,no,1,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,100,na
760,no,2,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,100,na
760,no,3,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/6/19,11,56.74501731,100,na
760,yes,2,2,70,2.496,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,4.398624088,na
760,yes,1,2,70,2.842,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,5.008369254,na
760,yes,2,2,40,3.302,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,5.819013116,na
760,yes,1,2,40,3.508,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,6.182040585,na
760,yes,3,2,40,3.689,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,6.501011322,na
760,yes,3,2,70,4.13,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,7.278172068,na
760,yes,1,2,37,19.439,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,34.25675226,na
760,yes,2,2,37,20.401,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,35.95205529,na
760,yes,3,2,37,28.287,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,49.84931073,na
760,no,1,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,100,na
760,no,2,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,100,na
760,no,3,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/9/19,14,56.74501731,100,na
760,yes,3,2,70,2.925,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,5.154637603,na
760,yes,2,2,70,3.187,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,5.616352151,na
760,yes,1,2,40,3.566,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,6.284252202,na
760,yes,2,2,40,3.626,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,6.389988358,na
760,yes,3,2,40,4.059,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,7.15305095,na
760,yes,1,2,70,4.344,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,7.655297691,na
760,yes,2,2,37,19.586,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,34.51580584,na
760,yes,3,2,37,20.953,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,36.92482793,na
760,yes,1,2,37,28.871,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,50.87847598,na
760,no,1,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,100,na
760,no,2,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,100,na
760,no,3,2,no endophyte,56.74501731,na,0.282743339,0,0,56.17953063,8/26/19,9/13/19,18,56.74501731,100,na
760,yes,2,3,70,3.323,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,5.856020771,na
760,yes,3,3,70,4.179,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,7.364523262,na
760,no,2,3,no endophyte,4.645,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,8.18574074,na
760,yes,2,3,40,6.155,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,10.84676733,na
760,yes,3,3,37,6.27,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,11.0494283,na
760,no,3,3,no endophyte,6.282,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,11.07057553,na
760,yes,1,3,40,6.536,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,11.51819192,na
760,yes,1,3,37,6.788,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,11.96228378,na
760,yes,3,3,40,7.6,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,13.39324642,na
760,yes,2,3,37,8.515,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,15.0057228,na
760,no,1,3,no endophyte,17.306,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,30.49783192,na
760,yes,1,3,70,8,,0.282743339,0,0,56.17953063,7/12/20,7/16/20,4,56.74501731,14.09815413,na
760,yes,2,3,70,6.678,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,11.76843416,na
760,yes,3,3,70,9.99,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,17.60506997,na
760,yes,2,3,40,11.828,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,20.84412088,na
760,yes,1,3,40,13.676,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,24.10079448,na
760,yes,3,3,40,14.386,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,25.35200566,na
760,yes,3,3,37,15.414,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,27.16361847,na
760,yes,1,3,37,16.958,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,29.88456221,na
760,yes,2,3,37,18.038,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,31.78781302,na
760,yes,1,3,70,18.912,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,33.32803636,na
760,no,2,3,no endophyte,22.471,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,39.59995267,na
760,no,3,3,no endophyte,23.91,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,42.13585815,na
760,no,1,3,no endophyte,41.331,,0.282743339,0,0,56.17953063,7/12/20,7/23/20,11,56.74501731,72.83635103,na
760,yes,1,3,37,17.667,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,31.13401112,na
760,yes,2,3,37,15.822,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,27.88262433,na
760,yes,3,3,37,19.326,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,34.05761583,na
760,yes,1,3,40,14.855,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,26.17850995,na
760,yes,2,3,40,14.709,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,25.92121863,na
760,yes,3,3,40,12.556,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,22.1270529,na
760,yes,1,3,70,19.258,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,33.93778152,na
760,yes,2,3,70,10.295,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,18.14256209,na
760,yes,3,3,70,7.041,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,12.4081379,na
760,no,1,3,no endophyte,14.453,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,25.4700777,na
760,no,2,3,no endophyte,12.289,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,21.65652701,na
760,no,3,3,no endophyte,11.496,,0.282743339,0,0,56.17953063,7/12/20,7/26/20,14,56.74501731,20.25904748,na
760,yes,1,3,37,17.505,,0.282743339,0,0,56.17953063,7/12/20,7/30/20,18,56.74501731,30.8485235,na
760,yes,2,3,37,18.508,,0.282743339,0,0,56.17953063,7/12/20,7/30/20,18,56.74501731,32.61607957,na
760,yes,3,3,37,16.063,,0.282743339,0,0,56.17953063,7/12/20,7/30/20,18,56.74501731,28.30733122,na
760,yes,1,3,40,14.422,,0.282743339,0,0,56.17953063,7/12/20,7/30/20,18,56.74501731,25.41544735,na
